ratio         RMSE           MAE
==============内分泌科===============
ratio         RMSE           MAE
==============内分泌科===============
0.50          0.32129332653         0.233487601856
0.55         0.331692639549         0.215153211054
0.60         0.295182309666         0.201725366735
0.65         0.255255944815         0.183787461975
0.70          0.28461299776         0.198369567021
0.75         0.281246656946         0.198969670077
0.80         0.300480485991         0.194003893164
0.85         0.283341665512         0.187076990538
0.90         0.250225943566         0.172515137014
0.95         0.346677027416          0.21673311742
==============神经内科===============
0.50         0.452249272293         0.322469011093
0.55         0.430172165242         0.325095699669
0.60         0.435715935342         0.297803011839
0.65         0.392001149181          0.29070862525
0.70         0.395382628626         0.283033618914
0.75         0.473985765638         0.341783767944
0.80         0.386740959645         0.274614481996
0.85         0.405513177008         0.259894106298
0.90         0.443044466419         0.297376356696
0.95         0.352303150339         0.254883808246
ratio         RMSE           MAE
==============内分泌科===============
0.50         0.281980015918         0.200315782203
0.55         0.268013838771         0.189019392839
0.60         0.306178530441         0.201184626342
0.65         0.272795975892         0.197508390265
0.70         0.232069543706         0.166220076329
0.75         0.229947153107         0.165916506391
0.80          0.25640887618         0.182372078011
0.85         0.271198819864         0.187710142783
0.90         0.244225997855         0.169560986964
0.95         0.297080502182         0.228181717082
==============神经内科===============
0.50          0.39822136828         0.290943375207
0.55         0.359764675614         0.270307122912
0.60         0.384117894961         0.277982821142
0.65         0.372021031132         0.289711674302
0.70         0.416222496988           0.3136149516
0.75         0.426699115206         0.299786202605
0.80         0.366743271413         0.264502918239
0.85         0.377429765347         0.261296804656
0.90         0.461110137165         0.308552949829
0.95         0.316260953008         0.219024463791
----------------------------------------------------融合ratio         RMSE           MAE
==============内分泌科===============
0.50         0.263484669163         0.183939499398
0.55         0.264770716371         0.186165073897
0.60         0.248534781122          0.17329895681
0.65          0.27976721026         0.191070183646
0.70         0.250257843817         0.171786180312
0.75         0.247276824181         0.182442174298
0.80         0.253131188358         0.171378921195
0.85         0.279945191409         0.182382250451
0.90         0.219829586075         0.156191051902
0.95         0.245396524778         0.172351298429
==============神经内科===============
0.50           0.3709390392         0.270605461616
0.55         0.400050948187         0.300119283634
0.60         0.349418469295         0.262283480056
0.65         0.366254478255         0.271605477327
0.70         0.382117051143         0.283043634021
0.75         0.354555085155         0.265093878454
0.80         0.362539554303          0.26034649925
0.85         0.338041009088         0.243374691552
0.90         0.329208567425         0.230824086993
0.95         0.317218284015         0.232509982989
